"instrument_token","tradingsymbol","name","exchange","segment","instrument_type","lot_size","tick_size","is_active","metadata","created_at","updated_at","market_cap","sector"
"6563841","LICMFGOLD","LIC MF - LIC GOLD ETF","NSE","NSE","EQ",1,"0.05000000",True,NULL,"2026-02-05 12:50:33.873011+00","2026-02-05 12:50:33.873015+00","0",NULL
"6617857","VAL30IETF","ICICIPRAMC - VAL30IETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:50:36.630357+00","2026-02-05 12:50:36.630363+00","0",NULL
"7565569","NIFTYIETF","ICICI PRUD NIFTY ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:50:51.063451+00","2026-02-05 12:50:51.06346+00","0",NULL
"7571713","NIF100BEES","NIP IND ETF NIFTY 100","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:50:51.243502+00","2026-02-05 12:50:51.243512+00","0",NULL
"7715585","CASHIETF","ICICIPRAMC - CASHIETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:50:56.645148+00","2026-02-05 12:50:56.645157+00","0",NULL
"7780353","NIF100IETF","ICICI PRUD NIFTY 100 ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:50:58.465865+00","2026-02-05 12:50:58.465875+00","0",NULL
"7807745","EVIETFINAV","ICICIPRAMC - EVIETFINAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:50:59.669577+00","2026-02-05 12:50:59.669587+00","0",NULL
"7814401","TOPETFINAV","ICICIPRAMC - TOPETFINAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:51:01.647749+00","2026-02-05 12:51:01.647761+00","0",NULL
"193505537","EVIETF","ICICIPRAMC - EVIETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:51:12.222163+00","2026-02-05 12:51:12.222175+00","0",NULL
"193991937","TOP15IETF","ICICIPRAMC - TOP15IETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:51:17.669884+00","2026-02-05 12:51:17.669893+00","0",NULL
"194174977","SBILIQETF","SBIAMC - SBILIQETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:51:22.837802+00","2026-02-05 12:51:22.837811+00","0",NULL
"194683393","TWCGOLDETF","WEALTH - TWCGOLDETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:51:45.3906+00","2026-02-05 12:51:45.390609+00","0",NULL
"194741505","NEXT50ETF","KOTAKMAMC - NEXT50ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:51:46.594553+00","2026-02-05 12:51:46.594563+00","0",NULL
